ı
----------------------------------------
AA70327.log
detection date	time	duration	tag type	tag id	read count	empty record count	antenna num
04/26/17	18:14:37.29	00:00:00.00	R	0000_0000000174764517	A3	1	4234
04/26/17	18:55:43.66	00:00:00.00	R	0000_0000000174764517	A3	1	12214
04/26/17	19:13:42.16	00:00:00.00	R	0000_0000000174764517	A3	1	5341
04/26/17	22:38:45.21	00:00:00.00	R	0000_0000000174764517	A3	1	60955
04/27/17	02:08:42.21	00:00:00.00	R	0000_0000000174764517	A3	1	62400
04/27/17	08:52:41.79	00:00:00.00	R	0000_0000000174764517	A3	1	65534
04/27/17	09:12:43.83	00:00:00.00	R	0000_0000000174764517	A3	1	5953
04/27/17	09:42:38.41	00:00:00.00	R	0000_0000000174764517	A3	1	8887
04/27/17	13:09:24.92	00:00:00.00	R	0000_0000000174764517	A3	1	61447
04/27/17	18:29:31.34	00:00:00.00	R	0000_0000000174764517	A3	1	65534
04/27/17	19:55:01.26	00:00:00.00	R	0000_0000000174764517	A3	1	25415
04/27/17	23:31:39.80	00:00:00.00	R	0000_0000000174764517	A3	1	64392
04/28/17	00:07:47.09	00:00:00.00	R	0000_0000000174764517	A3	1	10734
04/28/17	00:28:13.33	00:00:00.00	R	0000_0000000174764517	A3	1	6073
04/28/17	01:57:07.62	00:00:00.00	R	0000_0000000174764517	A3	1	26421
04/28/17	02:39:18.35	00:00:00.00	R	0000_0000000174764517	A3	1	12537
04/28/17	03:08:50.79	00:00:00.00	R	0000_0000000174764517	A3	1	8779
04/28/17	09:59:07.20	00:00:00.00	R	0000_0000000174764517	A3	1	65534
04/28/17	10:22:58.32	00:00:00.00	R	0000_0000000174764517	A3	1	7087
04/28/17	23:20:10.37	00:00:00.00	R	0000_0000000174764517	A3	1	65534
04/29/17	04:18:48.29	00:00:00.00	R	0000_0000000174764517	A3	1	65534
04/29/17	06:46:41.78	00:00:00.00	R	0000_0000000174764517	A3	1	43965
04/29/17	13:58:50.88	00:00:00.00	R	0000_0000000174764517	A3	1	65534
04/29/17	17:57:01.01	00:00:00.00	R	0000_0000000174764517	A3	1	65534
04/29/17	21:01:58.92	00:00:00.00	R	0000_0000000174764517	A3	1	55005
04/30/17	01:17:42.87	00:00:00.00	R	0000_0000000174764517	A3	1	65534
04/30/17	03:26:13.96	00:00:00.00	R	0000_0000000174764517	A3	1	38211
04/30/17	08:17:47.68	00:00:00.00	R	0000_0000000174764517	A3	1	65534
04/30/17	09:25:48.96	00:00:00.00	R	0000_0000000174764517	A3	1	20218
04/30/17	11:32:44.82	00:00:00.00	R	0000_0000000174764517	A3	1	37745
04/30/17	13:18:12.15	00:00:00.00	R	0000_0000000174764517	A3	1	31338
04/30/17	16:55:54.50	00:00:00.00	R	0000_0000000174764517	A3	1	64708
04/30/17	22:44:29.52	00:00:00.00	R	0000_0000000174764517	A3	1	65534
04/30/17	22:55:23.82	00:00:00.00	R	0000_0000000174764517	A3	1	3241
05/01/17	02:43:11.60	00:00:00.00	R	0000_0000000174764517	A3	1	65534
